facet_category,facet_name(unique),display_name,description,parent_name
category,demographics,Demographics,,
category,biospecimens,Biospecimens,,
category,consent,Patient Consent,,
category,waiver_consent,Waiver of Consent,,consent
category,legacy_consent,Legacy GIC Consent,,consent
category,gic_consent,GIC Consent,,consent
category,lab_results,Lab Results,,
category,virus,Virus,,lab_results
category,microbiology,Microbiology,,lab_results
category,hematology,Hematology,,lab_results
category,urinalysis,Urinalysis,,lab_results
category,chemistry,Chemistry,,lab_results
category,procedures,Procedures,,
category,retired_cpt4,Retired CPT4,,procedures
category,maaa,Administrative Codes for Multianalyte Assays with Algorithmic Analyses (MAAA),,procedures
category,anesthesia,Anesthesia,,procedures
category,category_ii_codes,Category II Codes,,procedures
category,category_iii_codes,Category III Codes,,procedures
category,evaluation_management_services,Evaluation and Management Services,,procedures
category,medicine_services_procedures,Medicine Services and Procedures,,procedures
category,pathology_laboratory_procedures,Pathology and Laboratory Procedures,,procedures
category,professional_claims,Place of Service Codes for Professional Claims,,procedures
category,radiology_procedures,Radiology Procedures,,procedures
category,surgery,Surgery,,procedures
category,diagnosis,Diagnosis,,
category,z00-z99,Z00-Z99 Factors influencing health status and contact with health services (Z00-Z99),,diagnosis
category,v00-y99,V00-Y99 External causes of morbidity (V00-Y99),,diagnosis
category,s00-t88,"S00-T88 Injury, poisoning and certain other consequences of external causes (S00-T88)",,diagnosis
category,r00-r99,"R00-R99 Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",,diagnosis
category,q00-q99,"Q00-Q99 Congenital malformations, deformations, and chromosomal abnormalities (Q00-Q99)",,diagnosis
category,p00-p96,P00-P96 Certain conditions originating in the perinatal period (P00-P96),,diagnosis
category,o00-o9a,"O00-O9A Pregnancy, childbirth and the puerperium (O00-O9A)",,diagnosis
category,n00-n99,N00-N99 Diseases of the genitourinary system (N00-N99),,diagnosis
category,m00-m99,M00-M99 Diseases of the musculoskeletal system and connective tissue (M00-M99),,diagnosis
category,l00-l99,L00-L99 Diseases of the skin and subcutaneous tissue (L00-L99),,diagnosis
category,k00-k95,K00-K95 Diseases of the digestive system (K00-K95),,diagnosis
category,j00-j99,J00-J99 Diseases of the respiratory system (J00-J99),,diagnosis
category,i00-i99,I00-I99 Diseases of the circulatory system (I00-I99),,diagnosis
category,h60-h95,H60-H95 Diseases of the ear and mastoid process (H60-H95),,diagnosis
category,h00-h59,H00-H59 Diseases of the eye and adnexa (H00-H59),,
category,g00-g99,G00-G99 Diseases of the nervous system (G00-G99),,diagnosis
category,f01-f99,"F01-F99 Mental, Behavioral, and Neurodevelopmental disorders (F01-F99)",,diagnosis
category,e00-e89,"E00-E89 Endocrine, nutritional, and metabolic diseases (E00-E89)",,diagnosis
category,d50-d89,D50-D89 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),,diagnosis
category,c00-d49,C00-D49 Neoplasms (C00-D49),,diagnosis
category,a00-b99,A00-B99 Certain infectious diseases and parasitic diseases (A00-B99),,diagnosis
