ACT_C_FULLNAME	OMOP_S_CONCEPT_ID	OMOP_NS_CONCEPT_ID	C_NAME	C_BASECODE	HPDS_PATH	type	values
ACT Demographics\Age\					\ACT Demographics\Age\	continuous	[1,200]
\ACT Demographics\Age\Not recorded\			Not recorded		\ACT Demographics\Age\	categorical	Not recorded
\ACT\Demographics\Hispanic\No Information\	0	0	No Information	DEM|HISP:NI	\ACT Demographics\Hispanic\	categorical	No Information
\ACT\Demographics\Hispanic\No\	38003564	38003564	No	DEM|HISP:N	\ACT Demographics\Hispanic\	categorical	No
\ACT\Demographics\Hispanic\Yes\	38003563	38003563	Yes	DEM|HISP:Y	\ACT Demographics\Hispanic\	categorical	Yes
\ACT\Demographics\Race\American Indian or Alaska Native\	8657	8657	American Indian or Alaska Native	DEM|RACE:NA	\ACT Demographics\Race\	categorical	American Indian or Alaska Native
\ACT\Demographics\Race\American Indian or Alaska Native\	38003572	38003572	American Indian or Alaska Native	DEM|RACE:NA	\ACT Demographics\Race\	categorical	American Indian or Alaska Native
\ACT\Demographics\Race\American Indian or Alaska Native\	38003573	38003573	American Indian or Alaska Native	DEM|RACE:NA	\ACT Demographics\Race\	categorical	American Indian or Alaska Native
\ACT\Demographics\Race\Asian\	8515	8515	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003574	38003574	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003575	38003575	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003576	38003576	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003577	38003577	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003578	38003578	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003579	38003579	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003580	38003580	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003581	38003581	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003582	38003582	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003583	38003583	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003584	38003584	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003585	38003585	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003586	38003586	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003587	38003587	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003588	38003588	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003589	38003589	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003590	38003590	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003591	38003591	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003592	38003592	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003593	38003593	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
\ACT\Demographics\Race\Asian\	38003594	38003594	Asian	DEM|RACE:AS	\ACT Demographics\Race\	categorical	Asian
