"C_HLEVEL";"C_FULLNAME";"C_NAME";"C_SYNONYM_CD";"C_VISUALATTRIBUTES";"C_TOTALNUM";"C_BASECODE";"C_METADATAXML";"C_FACTTABLECOLUMN";"C_TABLENAME";"C_COLUMNNAME";"C_COLUMNDATATYPE";"C_OPERATOR";"C_DIMCODE";"C_COMMENT";"C_TOOLTIP";"M_APPLIED_PATH";"UPDATE_DATE";"DOWNLOAD_DATE";"IMPORT_DATE";"SOURCESYSTEM_CD";"VALUETYPE_CD";"M_EXCLUSION_CD";"C_PATH";"C_SYMBOL";"HPDS_PATH"
"5";"\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\29609-5\";"Hepatitis C virus RNA [Units/volume] by Probe and signal amplification IU/mL";"";"";"0";"LOINC:29609-5";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\29609-5\";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Units/volume] by Probe and signal amplification IU/m";"@";"";"2015-05-07";"2015-05-07";"ACT";"";"";"";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Units/volume] by Probe and signal amplification IU/mL"
"5";"\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\34703-9\";"Hepatitis C virus RNA [Units/volume] by Probe and target amplification detection limit = 500 IU/mL";"";"";"0";"LOINC:34703-9";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\34703-9\";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Units/volume] by Probe and target amplification dete";"@";"";"2015-05-07";"2015-05-07";"ACT";"";"";"";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Units/volume] by Probe and target amplification detection limit = 500 IU/mL"
"5";"\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\34704-7\";"Hepatitis C virus RNA [Units/volume] by Probe and target amplification detection limit = 50 IU/mL";"";"";"0";"LOINC:34704-7";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\34704-7\";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Units/volume] by Probe and target amplification dete";"@";"";"2015-05-07";"2015-05-07";"ACT";"";"";"";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Units/volume] by Probe and target amplification detection limit = 50 IU/mL"
"5";"\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\38180-6\";"Hepatitis C virus RNA [Log units/volume] by Probe and target amplification log IU/mL";"";"";"0";"LOINC:38180-6";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\38180-6\";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Log units/volume] by Probe and target amplification ";"@";"";"2015-05-07";"2015-05-07";"ACT";"";"";"";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Log units/volume] by Probe and target amplification log IU/mL"
"5";"\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\42617-1\";"Hepatitis C virus RNA [Log units/volume] by Probe and signal amplification log IU/mL";"";"";"0";"LOINC:42617-1";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\42617-1\";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Log units/volume] by Probe and signal amplification ";"@";"";"2015-05-07";"2015-05-07";"ACT";"";"";"";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Log units/volume] by Probe and signal amplification log IU/mL"
"5";"\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\49758-6\";"Hepatitis C virus RNA [Units/volume] by Probe and target amplification detection limit = 5 IU/mL";"";"";"0";"LOINC:49758-6";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\49758-6\";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Units/volume] by Probe and target amplification dete";"@";"";"2015-05-07";"2015-05-07";"ACT";"";"";"";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Units/volume] by Probe and target amplification detection limit = 5 IU/mL"
"4";"\ACT\Labs\LP14855-8\LP14400-3\LP43019-6\";"Hepatitis C virus Ab";"";"";"";"LOINC:LP43019-6";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP14855-8\LP14400-3\LP43019-6\";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab"
"5";"\ACT\Labs\LP14855-8\LP14400-3\LP43019-6\13955-0\";"Hepatitis C virus Ab [Presence] in Serum by Immunoassay";"";"";"";"LOINC:13955-0";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP14855-8\LP14400-3\LP38332-0\13955-0\";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab\Hepatitis C virus Ab [Presence] in Serum by Immunoassay";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab\Hepatitis C virus Ab [Presence] in Serum by Immunoassay"
"5";"\ACT\Labs\LP14855-8\LP14400-3\LP43019-6\16128-1\";"Hepatitis C virus Ab [Presence] in Serum";"";"";"";"LOINC:16128-1";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP14855-8\LP14400-3\LP43019-6\16128-1\";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab\Hepatitis C virus Ab [Presence] in Serum";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab\Hepatitis C virus Ab [Presence] in Serum"
"5";"\ACT\Labs\LP14855-8\LP14400-3\LP43019-6\22327-1\";"Hepatitis C virus Ab [Units/Volume] in Serum";"";"";"";"LOINC:22327-1";"";"";"concept_dimension";"concept_path";"T";"LIKE";"\ACT\Labs\LP14855-8\LP14400-3\LP38332-0\22327-1\";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab\Hepatitis C virus Ab [Units/Volume] in Serum";"@";"";"";"";"ACT";"";"";"";"";"\Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab\Hepatitis C virus Ab [Units/Volume] in Serum"
