C_FULLNAME;C_NAME;C_BASECODE;HPDS_PATH
\ACT\Labs\;Lab Test Results;;\ACT Lab Test Results
\ACT\Labs\LP14855-8\;Virus;LOINC:LP14855-8;\ACT Lab Test Results\Virus
\ACT\Labs\LP14855-8\LP14306-2\;Hepatitis B virus;LOINC:LP14306-2;\ACT Lab Test Results\Virus\Hepatitis B virus
\ACT\Labs\LP14855-8\LP14306-2\LP41149-3\;Hepatitis B virus surface Ab;LOINC:LP41149-3;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus surface Ab
\ACT\Labs\LP14855-8\LP14306-2\LP41149-3\10900-9\;Hepatitis B virus surface Ab [Presence] in Serum by Immunoassay;LOINC:10900-9;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus surface Ab\Hepatitis B virus surface Ab [Presence] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP14306-2\LP41149-3\16935-9\;Hepatitis B virus surface Ab [Units/Volume] in Serum;LOINC:16935-9;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus surface Ab\Hepatitis B virus surface Ab [Units/Volume] in Serum
\ACT\Labs\LP14855-8\LP14306-2\LP41149-3\22322-2\;Hepatitis B virus surface Ab [Presence] in Serum;LOINC:22322-2;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus surface Ab\Hepatitis B virus surface Ab [Presence] in Serum
\ACT\Labs\LP14855-8\LP14306-2\LP41149-3\39535-0\;Hepatitis B virus surface Ab [Presence] in Serum by Radioimmunoassay (RIA);LOINC:39535-0;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus surface Ab\Hepatitis B virus surface Ab [Presence] in Serum by Radioimmunoassay (RIA)
\ACT\Labs\LP14855-8\LP14306-2\LP41149-3\5193-8\;Hepatitis B virus surface Ab [Units/Volume] in Serum by Immunoassay;LOINC:5193-8;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus surface Ab\Hepatitis B virus surface Ab [Units/Volume] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP14306-2\LP41149-3\5194-6\;Hepatitis B virus surface Ab [Units/Volume] in Serum by Radioimmunoassay (RIA);LOINC:5194-6;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus surface Ab\Hepatitis B virus surface Ab [Units/Volume] in Serum by Radioimmunoassay (RIA)
\ACT\Labs\LP14855-8\LP14306-2\LP42994-1\;Hepatitis B virus core IgG;LOINC:LP2994-1;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core IgG
\ACT\Labs\LP14855-8\LP14306-2\LP42994-1\13919-6\;Hepatitis B virus core IgG Ab [Units/Volume] in Serum by Immunoassay;LOINC:13919-6;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core IgG\Hepatitis B virus core IgG Ab [Units/Volume] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP14306-2\LP42994-1\22318-0\;Hepatitis B virus core IgG Ab [Units/Volume] in Serum;LOINC:22318-0;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core IgG\Hepatitis B virus core IgG Ab [Units/Volume] in Serum
\ACT\Labs\LP14855-8\LP14306-2\LP42994-1\32685-0\;Hepatitis B virus core IgG Ab [Presence] in Serum;LOINC:32685-0;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core IgG\Hepatitis B virus core IgG Ab [Presence] in Serum
\ACT\Labs\LP14855-8\LP14306-2\LP42994-1\40725-4\;Hepatitis B virus core IgG Ab [Presence] in Serum by Immunoassay;LOINC:40725-4;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core IgG\Hepatitis B virus core IgG Ab [Presence] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP14306-2\LP43016-2\;Hepatitis B virus core Ab;LOINC:LP43016-2;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core Ab
\ACT\Labs\LP14855-8\LP14306-2\LP43016-2\13952-7\;Hepatitis B virus core Ab [Presence] in Serum by Immunoassay;LOINC:13952-7;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core Ab\Hepatitis B virus core Ab [Presence] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP14306-2\LP43016-2\16933-4\;Hepatitis B virus core Ab [Presence] in Serum;LOINC:16933-4;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core Ab\Hepatitis B virus core Ab [Presence] in Serum
\ACT\Labs\LP14855-8\LP14306-2\LP43016-2\22316-4\;Hepatitis B virus core Ab [Units/Volume] in Serum;LOINC:22316-4;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core Ab\Hepatitis B virus core Ab [Units/Volume] in Serum
\ACT\Labs\LP14855-8\LP14306-2\LP43016-2\5187-0\;Hepatitis B virus core Ab [Units/Volume] in Serum by Immunoassay;LOINC:5187-0;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core Ab\Hepatitis B virus core Ab [Units/Volume] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP14306-2\LP43016-2\5188-8\;Hepatitis B virus core Ab [Units/Volume] in Serum by Radioimmunoassay (RIA);LOINC:5188-8;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core Ab\Hepatitis B virus core Ab [Units/Volume] in Serum by Radioimmunoassay (RIA)
\ACT\Labs\LP14855-8\LP14306-2\LP47055-6\;Hepatitis B virus core IgM;LOINC:LP47055-6;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core IgM
\ACT\Labs\LP14855-8\LP14306-2\LP47055-6\22319-8\;Hepatitis B virus core IgM Ab [Units/Volume] in Serum;LOINC:22319-8;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core IgM\Hepatitis B virus core IgM Ab [Units/Volume] in Serum
\ACT\Labs\LP14855-8\LP14306-2\LP47055-6\24113-3\;Hepatitis B virus core IgM Ab [Presence] in Serum or Plasma by Immunoassay;LOINC:24113-3;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core IgM\Hepatitis B virus core IgM Ab [Presence] in Serum or Plasma by Immunoassay
\ACT\Labs\LP14855-8\LP14306-2\LP47055-6\31204-1\;Hepatitis B virus core IgM Ab [Presence] in Serum;LOINC:31204-1;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core IgM\Hepatitis B virus core IgM Ab [Presence] in Serum
\ACT\Labs\LP14855-8\LP14306-2\LP47055-6\5185-4\;Hepatitis B virus core IgM Ab [Units/Volume] in Serum by Immunoassay;LOINC:5185-4;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core IgM\Hepatitis B virus core IgM Ab [Units/Volume] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP14306-2\LP47055-6\5186-2\;Hepatitis B virus core IgM Ab [Units/Volume] in Serum by Radioimmunoassay (RIA);LOINC:5186-2;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core IgM\Hepatitis B virus core IgM Ab [Units/Volume] in Serum by Radioimmunoassay (RIA)
\ACT\Labs\LP14855-8\LP14306-2\LP54058-0\;Hepatitis B virus surface Ag;LOINC:LP54058-0;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus surface Ag
\ACT\Labs\LP14855-8\LP14306-2\LP54058-0\5195-3\;Hepatitis B virus surface Ag [Presence] in Serum;LOINC:5195-3;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus surface Ag\Hepatitis B virus surface Ag [Presence] in Serum
\ACT\Labs\LP14855-8\LP14306-2\LP54058-0\5196-1\;Hepatitis B virus surface Ag [Presence] in Serum by Immunoassay;LOINC:5196-1;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus surface Ag\Hepatitis B virus surface Ag [Presence] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP14306-2\LP54058-0\5197-9\;Hepatitis B virus surface Ag [Presence] in Serum by Radioimmunoassay (RIA);LOINC:5197-9;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus surface Ag\Hepatitis B virus surface Ag [Presence] in Serum by Radioimmunoassay (RIA)
\ACT\Labs\LP14855-8\LP14306-2\LP54058-0\58452-4\;Hepatitis B virus surface Ag [Units/Volume] in Serum;LOINC:58452-4 ;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus surface Ag\Hepatitis B virus surface Ag [Units/Volume] in Serum
\ACT\Labs\LP14855-8\LP14306-2\LP54058-0\63557-3\;Hepatitis B virus surface Ag [Units/Volume] in Serum by Immunoassay;LOINC:63557-3;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus surface Ag\Hepatitis B virus surface Ag [Units/Volume] in Serum by Immunoassay
\ACT\Labs\LP14855-8\LP14306-2\LP54058-0\65633-0\;Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Confirmatory method;LOINC:65633-0;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus surface Ag\Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Confirmatory method
\ACT\Labs\LP14855-8\LP14306-2\LP54058-0\70154-0\;Hepatitis B virus surface Ag [Neutralization] in Serum or Plasma by Confirmatory method;LOINC:70154-0;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus surface Ag\Hepatitis B virus surface Ag [Neutralization] in Serum or Plasma by Confirmatory method
\ACT\Labs\LP14855-8\LP14306-2\LP54058-0\7905-3\;Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Neutralization test;LOINC:7905-3;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus surface Ag\Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Neutralization test
\ACT\Labs\LP14855-8\LP14306-2\LP66853-0\;Hepatitis B virus core;LOINC:LP66853-0;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core
\ACT\Labs\LP14855-8\LP14306-2\LP66853-0\51914-0\;Hepatitis B virus core [Presence] in Serum;LOINC:51914-0;\ACT Lab Test Results\Virus\Hepatitis B virus\Hepatitis B virus core\Hepatitis B virus core [Presence] in Serum
\ACT\Labs\LP14855-8\LP14400-3\;Hepatitis C virus;LOINC:LP14400-3;\ACT Lab Test Results\Virus\Hepatitis C virus
\ACT\Labs\LP14855-8\LP14400-3\LP38332-0\16128-1\;Hepatitis C virus Ab [Presence] in Serum;LOINC:16128-1;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus Ab [Presence] in Serum
\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\;Hepatitis C virus RNA;LOINC:LP40983-6;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA
\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\10676-5\;Hepatitis C virus RNA [Units/volume] by Probe with amplification IU/mL;LOINC:10676-5;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Units/volume] by Probe with amplification IU/mL
\ACT\Labs\LP14855-8\LP14400-3\LP40983-6\11011-4\;Hepatitis C virus RNA [Units/volume] by Probe and target amplification Thous IU/mL;LOINC:11011-4;\ACT Lab Test Results\Virus\Hepatitis C virus\Hepatitis C virus RNA\Hepatitis C virus RNA [Units/volume] by Probe and target amplification Thous IU/mL
